"년도","월","회원타입","건수","현년 전기사용량","전년 전기사용량","전전년 전기사용량","토탈 전기 증감량","토탈 전기탄소 증감량","현년 가스사용량","전년 가스사용량","전전년 가스사용량","토탈 가스 증감량","토탈 가스탄소 증감량","현년 수도사용량","전년 수도사용량","전전년 수도사용량","토탈 수도 증감량","토탈 수도탄소 증감량","현년 지역난방 사용량","전년 지역난방 사용량","전전년 지역난방 사용량","토탈 지역난방 증감량","토탈 지역난방탄소 증감량","등록일"
"2022","11","기업","19007","534784542","538629031","528603461","1168296","495357.504","17513895","19853115","16535316","-680320.5","-1523917.92","4298756.8","4110678","3986145.2","250345.2","83114.6064","0","0","0","0","0","2023-02-01 04:12:27.0"
"2022","11","공동주택관리소","3629","471414058","484445962","482754041","-12185943.5","-5166840.044","5502871","5578624","5821058","-196970","-441212.8","19793329.6","20641011.2","21179012","-1116682","-370738.424","0","0","0","0","0","2023-02-01 04:12:27.0"
"2022","11","공공기관","2366","130402011","132201924","130789924","-1093913","-463819.112","2607483","2949179","2781398","-257805.5","-577484.32","1138855.2","995585.6","949952.4","166086.2","55140.6184","0","0","0","0","0","2023-02-01 04:12:27.0"
"2022","11","개인","1186063","252081207","262356991","263299693","-10747135","-4556785.24","28471902","28709442","30460866","-1113252","-2493684.48","14485236.6","15320497","15529413.4","-939718.6","-311986.5752","10685943.786","13291078.238","12961365.165","-2440277.9155","-3455246.18651164","2023-02-01 04:12:27.0"
"2022","10","학교","6682","101766144","95515842","83096078","12460184","5283118.016","2339615","2167949","1818390","346445.5","776037.92","1736340.2","1719033.4","1596895","78376","26020.832","5750.033","4945.284","5395.282","579.75","105.728538","2023-01-01 04:12:29.0"
"2022","10","종교단체","809","5295147","5055056","4521801","506718.5","214848.644","153064","159682","134631","5907.5","13232.8","53354","38358","38432","14959","4966.388","0","0","0","0","0","2023-01-01 04:12:29.0"
"2022","10","소상공인","48818","83299730","84844472","78308101","1723443.5","730740.044","1879896","1775058","1781328","101703","227814.72","1596299.8","1538695.4","1529645.6","62129.3","20626.9276","87814.01","423.04","461.04","87371.97","347455.409676","2023-01-01 04:12:29.0"
"2022","10","기업","19001","559014202","567738130","532575345","8857464.5","3755564.948","16932243","17015812","17201518","-176422","-395185.28","4867498.6","4593510.2","4447463.4","347011.8","115207.9176","0","0","0","0","0","2023-01-01 04:12:29.0"
"2022","10","공동주택관리소","3629","458715437","470349998","459147687","-6033405.5","-2558163.932","2663313","2646995","2847616","-83992.5","-188143.2","20473933.1","21798589","22046208.1","-1448465.45","-480890.5294","0","0","0","0","0","2023-01-01 04:12:29.0"
"2022","10","공공기관","2365","132138993","133351059","125417579","2754674","1167981.776","2077871","2120958","1718680","158052","354036.48","935531.6","819167.6","769182.6","141356.5","46930.358","0","0","0","0","0","2023-01-01 04:12:29.0"
"2022","10","개인","1183941","250724946","261192471","255699825","-7721202","-3273789.648","13803068","13915554","16464023","-1386720.5","-3106253.92","14983916.7","16289347.4","16334580.8","-1328047.4","-440911.7368","5216710.607","4339415.797","4776111.496","658946.9605","1821534.18634776","2023-01-01 04:12:29.0"
"2022","09","학교","6679","121682490","111842112","109150290","11186289","4742986.536","3037043","2728929","2656278","344439.5","771544.48","1715072.4","1504600.6","1527250","199147.1","66116.8372","8.14","4.06","11.1","0.56","2.00972","2022-12-01 04:16:43.0"
"2022","09","종교단체","809","6636428","5968537","6091163","606578","257189.072","206750","192632","190369","15249.5","34158.88","48035","40178","39270","8311","2759.252","0","0","0","0","0","2022-12-01 04:16:43.0"
"2022","09","소상공인","48787","103049050","101024114","104889222","92382","39169.968","1890601","1742089","1893537","72788","163045.12","1530998","1424714.2","1506430.9","65425.45","21721.2494","42","23","23","19","75.658","2022-12-01 04:16:43.0"
"2022","09","기업","19002","641632018","629613308","629371555","12139586.5","5147184.676","23704612","22478503","23955610","487555.5","1092124.32","5311421.4","4840855.6","4983443.4","399271.9","132558.2708","0","0","0","0","0","2022-12-01 04:16:43.0"
"2022","09","공동주택관리소","3629","536947914","535294688","589079361","-25239110.5","-10701382.852","2141851","2045912","2386768","-74489","-166855.36","20656855","21679254.5","21806191.3","-1085867.9","-360508.1428","0","0","0","0","0","2022-12-01 04:16:43.0"
"2022","09","공공기관","2365","157563448","156641976","157255575","614672.5","260621.14","2539989","2579570","2849451","-174521.5","-390928.16","1349757.2","1183557.4","1143429.6","186263.7","61839.5484","0","0","0","0","0","2022-12-01 04:16:43.0"
"2022","09","개인","1181514","294121752","298449265","330824477","-20515119","-8698410.456","9220604.8","8629890","10023939","-106309.7","-238133.728","15016541.4","15907410.6","16147900.2","-1011114","-335689.848","7221052.414","7215849.468","7226363.157","-53.8985","28356.69476552","2022-12-01 04:16:43.0"
